,death_prob,rep_prob,cancer_prob,guide,init_cells,run,before,after,nj,cassiopeia,reassign_delta,nj_delta
57,0.1,0.75,0.01,fff,1,0,0.858,0.84,0.876,0.9812889812889813,-0.018000000000000016,0.03600000000000003
58,0.1,0.75,0.01,fff,1,1,0.997,0.98,0.984,0.9970501474926253,-0.017000000000000015,0.0040000000000000036
59,0.1,0.75,0.01,fff,1,2,0.733,0.702,0.698,0.9194029850746268,-0.031000000000000028,-0.0040000000000000036
60,0.2,0.75,0.001,sss,1,0,0.969,0.747,0.752,0.8051075268817204,-0.22199999999999998,0.0050000000000000044
61,0.2,0.75,0.001,sss,1,1,0.626,0.606,0.58,0.536096256684492,-0.020000000000000018,-0.026000000000000023
62,0.2,0.75,0.001,sss,1,2,0.568,0.663,0.679,0.5631067961165048,0.09500000000000008,0.016000000000000014
63,0.2,0.75,0.001,ssm,1,0,0.952,0.945,0.938,0.7833333333333333,-0.007000000000000006,-0.007000000000000006
64,0.2,0.75,0.001,ssm,1,1,0.907,0.906,0.915,0.8354203935599285,-0.0010000000000000009,0.009000000000000008
65,0.2,0.75,0.001,ssm,1,2,0.853,0.81,0.798,0.8188277087033747,-0.04299999999999993,-0.01200000000000001
66,0.2,0.75,0.001,smm,1,0,0.991,0.847,0.849,0.9840848806366048,-0.14400000000000002,0.0020000000000000018
67,0.2,0.75,0.001,smm,1,1,0.987,0.972,0.977,0.961139896373057,-0.015000000000000013,0.0050000000000000044
68,0.2,0.75,0.001,smm,1,2,0.823,0.786,0.801,0.8237597911227154,-0.03699999999999992,0.015000000000000013
69,0.2,0.75,0.001,ssf,1,0,0.978,0.889,0.887,0.9866220735785953,-0.08899999999999997,-0.0020000000000000018
70,0.2,0.75,0.001,ssf,1,1,0.823,0.741,0.755,0.9658273381294964,-0.08199999999999996,0.014000000000000012
71,0.2,0.75,0.001,ssf,1,2,0.918,0.9,0.93,0.9245283018867925,-0.018000000000000016,0.030000000000000027
72,0.2,0.75,0.001,smf,1,0,0.912,0.8,0.791,0.8595505617977528,-0.11199999999999999,-0.009000000000000008
73,0.2,0.75,0.001,smf,1,1,0.994,0.939,0.949,0.9951219512195122,-0.05500000000000005,0.010000000000000009
74,0.2,0.75,0.001,smf,1,2,0.987,0.971,0.981,0.9788199697428139,-0.016000000000000014,0.010000000000000009
75,0.2,0.75,0.001,sff,1,0,0.976,0.951,0.96,0.928395061728395,-0.025000000000000022,0.009000000000000008
76,0.2,0.75,0.001,sff,1,1,0.995,0.958,0.945,0.8802228412256268,-0.03700000000000003,-0.013000000000000012
77,0.2,0.75,0.001,sff,1,2,0.958,0.958,0.946,0.9706601466992665,0.0,-0.01200000000000001
